,Project Name,Neighborhood,Zip Code,TtlProjUnits,RentUnits,OwnUnits,TtlMarket,MarketRent,MarketOwn,Total Income-Restricted,Income-Restricted Rental,Income-Restricted Ownership,Tenure,Public/ Private,Includes Senior Units?,Section 8
1049,x Bellevue Street,Dorchester,02125,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,
1051,x Bennington St (AOP),East Boston,02128,2,2,0,0.0,0.0,0.0,2,2,0.0,Rental,Private,,
1052,x Bennington St. EBO 02128-COB,East Boston,02128,3,2,1,0.0,0.0,0.0,3,2,1.0,Ownership/Rental,Private,,
1053,x Birch Rd (RDP),West Roxbury,02122,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,
1054,x Blackinton St (AOP),East Boston,02128,2,2,0,0.0,0.0,0.0,2,2,0.0,Rental,Private,,
1055,x Blue Hill Ave,Roxbury,02119,3,2,1,0.0,0.0,0.0,3,2,1.0,Ownership/Rental,Private,,
1056,x Blue Hill Ave (REMS buildings),Roxbury,02121,2,2,0,0.0,0.0,0.0,2,2,0.0,Rental,Private,,
1058,x Boardman St,East Boston,02128,6,6,0,0.0,0.0,0.0,6,6,0.0,Rental,Public,,
1060,x Bowdoin St,Dorchester,02124,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Public,,
1066,x Breed St (AOP),East Boston,02128,2,2,0,0.0,0.0,0.0,2,2,0.0,Rental,Private,,
1068,x Bremen St (AOP),East Boston,02128,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,
1070,x Brooks St (AOP),East Boston,02128,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,
1077,x Cameron Street,Dorchester,02125,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,
1078,x Carlford Rd,Jamaica Plain,02130,2,2,0,0.0,0.0,0.0,2,2,0.0,Rental,Public,,
1079,x Catawba St - Youthbuild,Roxbury,02119,3,2,1,1.0,1.0,0.0,2,1,1.0,Ownership/Rental,Private,,
1082,x Chamblet Street,Dorchester,02125,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,
1083,x Chaucer St (AOP),East Boston,02128,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,
1086,x Chelsea St (AOP),East Boston,02128,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,
1087,x Chelsea Street E. Boston - COB,East Boston,02128,3,2,1,0.0,0.0,0.0,3,2,1.0,Ownership/Rental,Private,,
1088,x Chestnut Ave (1-4 Program),Jamaica Plain,02130,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,
1091,x Clarkson St,Dorchester,02125,3,2,1,0.0,0.0,0.0,3,2,1.0,Ownership/Rental,Private,,
1092,x Clifton St,Dorchester,02125,2,2,0,0.0,0.0,0.0,2,2,0.0,Rental,Public,,
1093,x Clifton St (RDP),Roxbury,02119,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,
1095,x Coleman St (1-4 Program),Dorchester,02125,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,
1096,x Coleman St (REO),Dorchester,02125,3,2,1,1.0,0.0,1.0,2,2,0.0,Ownership/Rental,Private,,
1099,x Columbus Ave,Roxbury,02119,5,5,0,0.0,0.0,0.0,5,5,0.0,Rental,Private,,
1107,x Corman Road Mattapan - COB,Mattapan,02126,2,1,1,1.0,0.0,1.0,1,0,1.0,Ownership,Private,,
1111,x D St,South Boston,02127,8,8,0,0.0,0.0,0.0,8,8,0.0,Rental,Private,,
1113,x Dacia Street,Roxbury,02125,3,2,1,0.0,0.0,0.0,3,2,1.0,Ownership/Rental,Private,,
1115,x Devon Street,Dorchester,02121,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,
1121,x Dorchester St.,South Boston,02127,7,7,0,0.0,0.0,0.0,7,7,0.0,Rental,Private,,
1122,x Draper St (BuildHOME),Dorchester,02122,2,1,1,1.0,1.0,0.0,1,0,1.0,Ownership/Rental,Private,,
1123,x Dudley St (REO),Dorchester,02125,4,4,0,0.0,0.0,0.0,4,4,0.0,Rental,Private,,
1125,x Dunlap Street,Dorchester,02124,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,
1126,x Dunreath St (RDP),Roxbury,02119,3,2,1,0.0,0.0,0.0,3,2,1.0,Ownership/Rental,Private,,
1127,x E Eagle Street (AOP),East Boston,02128,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,
1136,x East Springfield St,South End,02118,5,5,0,0.0,0.0,0.0,5,5,0.0,Rental,Private,,Y
1138,x Elizabeth St,Mattapan,02126,6,6,0,0.0,0.0,0.0,6,6,0.0,Rental,Private,,
1139,x Ellington St,Dorchester,02121,6,6,0,0.0,0.0,0.0,6,6,0.0,Cooperative,Private,,
1140,x Elwyn Road (REO),Dorchester,02124,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,
1141,x Esmond Street,Dorchester,02121,2,1,1,1.0,1.0,0.0,1,0,1.0,Ownership/Rental,Private,,
1143,x Eutaw St (AOP),East Boston,02128,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,
1146,x Fairland St (Lee VUP),Roxbury,02119,3,2,1,1.0,0.0,1.0,2,2,0.0,Ownership/Rental,Private,,
1148,x Falcon St (AOP),East Boston,02128,2,2,0,0.0,0.0,0.0,2,2,0.0,Rental,Private,,
1151,x Fottler (REMS Land),Mattapan,02126,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,
1153,x Gladstone St (AOP),East Boston,02128,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,
1154,x Glendon St (AOP),East Boston,02128,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,
1155,x Glenway St,Dorchester,02121,3,2,1,0.0,0.0,0.0,3,2,1.0,Ownership/Rental,Private,,
1156,x Glenway Street,Dorchester,02121,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,
1157,x Glenway Street (1-4),Dorchester,02121,3,2,1,0.0,0.0,0.0,3,2,1.0,Ownership/Rental,Private,,
1160,x Greenbrier St (BuildHome),Dorchester,02124,2,1,1,1.0,1.0,0.0,1,0,1.0,Ownership/Rental,Private,,
1161,x Greenwich Park*,South End,02118,5,5,0,0.0,0.0,0.0,5,5,0.0,Rental,Private,,
1165,x Harold Street,Roxbury,02119,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,
1169,x Harvard Street,Dorchester,02124,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,
1171,x Hawthorne Street,Roxbury,02119,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,
1174,x Hendry St (REO),Dorchester,02122,3,2,1,0.0,0.0,0.0,3,2,1.0,Ownership/Rental,Private,,
1178,x Holborn Terrace,Roxbury,02121,8,8,0,0.0,0.0,0.0,8,8,0.0,Rental,Private,,
